trait,drop_count,I2_LL,Ip_LL,Ir_LL,Ipr_LL,I2_I2,Ip_Ip,Ir_r,Ir_II,Ipr_r,Ipr_II
arthrosis,0,33.76375013819472,33.05560617341333,34.11502739269456,34.09854938894873,0.1916116342595646,0.4439549137596264,2.587063275365146,1.1040298677104263,4.735274201777436,1151.3884089221629
arthrosis,1,34.57396991572496,33.806090096915185,34.85035221858165,34.78468508543788,0.2313437720733971,0.5587804601007543,2.494121268985414,0.9693947161915094,4.465803691221453,698.5137379167218
arthrosis,2,35.14138895758874,34.37356406646082,35.356672406208624,35.254127611489565,0.2641648320386099,0.6681560876755218,2.4602274213684847,0.9255096578372292,4.235555470518793,438.6111507969679
arthrosis,5,36.532548855341005,35.82209090545603,36.55741481055848,36.41554841037633,0.3379918669209548,1.054915742710952,2.127500624686088,0.46395342959873,3.642629392627504,129.01633576984486
asthma,0,23.13559162250325,22.37283932957833,24.540072139514173,24.229746339646297,0.0280447493270671,0.0227219349669216,5.461931157182459,35.27455410278172,7.187087754238381,1994.8182897495371
asthma,1,23.702910833203774,22.89585379586576,24.90270101917008,24.64563607448594,0.0290982712169544,0.0302457294119033,5.096882135635498,18.8589598862083,7.088936978904533,2045.7022034103445
asthma,2,23.702910833203774,22.89585379586576,24.90270101917008,24.64563607448594,0.0290982712169544,0.0302457294119033,5.096882135635498,18.8589598862083,7.088936978904533,2045.7022034103445
asthma,5,24.59286523063351,23.71123471627756,25.654901782330704,25.395243626598788,0.0396945121467661,0.0488365658609225,4.004330774237809,3.3112968320946234,6.813099950358639,2114.9063202283187
bc,0,56.0711660452839,55.97051528401565,56.07527038675767,56.18629940158024,0.0173873891801521,0.0264729740769668,2.057574239002132,0.0201433067337083,3.056088350696669,0.1781912090645893
bc,1,58.516275898048406,57.75538004135369,58.65378965128984,58.495884964218654,0.0245548179579146,0.0360868216162175,2.587569406753688,0.0683580618921273,4.036311154680938,1.593543702874321
bc,2,60.15636906337003,59.007280166060816,60.48198271649459,60.29556684524862,0.0292491521240814,0.0443231746676237,2.912885380043026,0.1474415516222391,4.602902342158723,6.272222018810879
bc,5,62.860907383206175,61.56695787626874,63.06902254252631,62.76114028035435,0.0365338391630607,0.0639635585341789,2.4055356792628424,0.0791141810289379,4.025679719944415,3.6633359899953497
bmi,0,274.5712776911194,276.519576293068,275.76241438220376,277.1723642397232,0.4817397689447583,1.2127996487276824,1.6465649412624694,0.1568105602321671,2.626475564469337,9.845484071509343
bmi,1,276.5772064955526,276.05865188037643,276.58001524237164,277.52634534021325,0.5510752895334122,1.2535582840896544,1.991584578689072,0.5372988031485159,3.090688381086093,49.39628430054236
bmi,2,279.06707267078554,277.71082337436667,279.182557761507,280.1179393439513,0.5948590353541385,1.3197248622668072,2.0740924356950865,0.7373587848499555,3.444243440358501,173.28011800043714
bmi,5,290.06417909619967,285.0923039580072,292.5828206726076,292.645077354443,0.6736246465804404,1.564269305103757,2.562282695788221,4.24251922950863,4.462800079784461,6233.235672635443
cad,0,19.534034809220422,19.560040985512405,19.652338795857528,19.56133087558489,0.0325461783498046,0.0837196007250893,1.694596351560903,0.0206296148084379,2.095274659534565,0.1006089156684992
cad,1,21.70235210978138,21.61346136275212,21.8937872299946,21.67270486208006,0.0433522576151049,0.155541292370414,1.5622626565209496,0.0224253059007311,2.470509701222176,0.3975307896289932
cad,2,21.805560204167016,21.618599161231483,21.92629437275967,22.043961471622406,0.0517215909189707,0.2080950351788204,1.7499277431681546,0.0369485312207703,3.1743639534660075,2.3898443210688245
cad,5,22.81280271449844,23.10735576526421,23.3023308508877,23.35713159198447,0.0570620876131475,0.3274437600974843,1.5759978108313963,0.032338544937123,2.8094439864750647,1.8022145914490453
dbp,0,155.65640262521103,152.0437212887963,159.45229240378012,158.73195152892742,0.4606583060417192,0.7271859977964069,3.12396933529942,16.24604993774513,4.905011235200773,11756.0487528419
dbp,1,157.19483063897556,153.21290507278263,161.01113066796634,160.22273258324967,0.4691255239825925,0.7915645352615422,3.00898022263532,12.386202293107695,4.86695725794198,11849.155560097432
dbp,2,158.06013882433257,153.94589861374658,161.7564828635395,160.93394097601018,0.4939151456167697,0.8341893643680391,2.9882044801467837,11.80850278964376,4.845677170156934,11852.727003958871
dbp,5,160.6262753605099,156.03768314175943,164.05225878224417,163.17773051109515,0.5670394586471775,0.9722289629776244,2.8639455094460646,8.798617908485953,4.783430873846758,11914.497827418088
diverticulitis,0,30.82515303822321,30.4106155432379,30.959539062481912,30.416645965306905,0.0491698879662618,0.0740344055716966,1.4860178441081748,0.0163403525704768,2.2193475729238106,0.1190208416354814
diverticulitis,1,32.26989966555127,31.48111249190601,32.27284199382974,31.68502419883517,0.0661912802651419,0.114759867742594,2.0390089422667947,0.0740385684483444,3.283283843225574,2.092788638746383
diverticulitis,2,32.815943771108124,32.02140505859439,32.82456180768153,32.14360864558391,0.0782274862647305,0.1370148306081718,1.9162038568259965,0.0620787510469721,2.9173919382324462,1.121629047398948
diverticulitis,5,33.44863873064696,32.634685334209124,33.482607470666764,32.762407119671536,0.0863242497391393,0.1852356652402322,1.853380123667013,0.0631113553907489,2.812943820092509,1.2666642579301564
fvc,0,257.196337694053,253.06613632108144,257.2012181339562,255.3822867727879,0.7261647382782787,1.3693782874135223,1.988935555610807,0.6980984327042468,3.2224715941255084,99.48020215264502
fvc,1,258.77020053132685,254.37151231933785,258.7703009793785,257.0163829598027,0.7347054835364002,1.4355927288378143,1.998848077631556,0.7320398930606025,3.280424134790162,129.242838252773
fvc,2,259.8861758730068,255.35099390546893,259.88618187736546,258.21516043975424,0.7448525561565218,1.4903594155040107,1.9997222456382595,0.7439780538424285,3.3098839861237144,150.52983736208907
fvc,5,259.05074578460216,254.0813934235869,259.05304292386063,257.9221601439876,0.8457579596723291,1.5640055190090407,2.0116080528358005,0.8786494604433119,3.5555960902277723,392.48326352915086
gallstones,0,20.48836597249876,19.798985912793466,20.72915156276631,20.472587282394663,0.0169625908807242,0.0164230608328896,2.9253226303187674,0.0886896777407139,5.316157166422785,5.104607269156865
gallstones,1,20.48836597249876,19.798985912793466,20.72915156276631,20.472587282394663,0.0169625908807242,0.0164230608328896,2.9253226303187674,0.0886896777407139,5.316157166422785,5.104607269156865
gallstones,2,20.48836597249876,19.798985912793466,20.72915156276631,20.472587282394663,0.0169625908807242,0.0164230608328896,2.9253226303187674,0.0886896777407139,5.316157166422785,5.104607269156865
gallstones,5,18.980616748652064,18.42107387224013,19.043337165193744,18.78012415063908,0.0237350759085791,0.0209056498393583,2.4218727486276994,0.0511899402367173,4.024665260440038,1.262883692740051
glaucoma,0,14.272728063206287,13.991364630708556,15.19907216852567,14.906482451904711,0.0075361309712147,0.0019828508100529,7.597656684005796,99.99776471504738,8.767700679212439,703.539951016739
glaucoma,1,14.272728063206287,13.991364630708556,15.19907216852567,14.906482451904711,0.0075361309712147,0.0019828508100529,7.597656684005796,99.99776471504738,8.767700679212439,703.539951016739
glaucoma,2,12.376776117959023,12.363622674288772,12.376776117959023,12.363622674288772,1.995262314968834e-07,3.548133892335688e-07,2.0,1.995262314968834e-07,2.0,3.548133892335688e-07
glaucoma,5,12.72919660230376,12.710883601119551,12.76328428830049,12.723700469308056,0.0024927555249478,1.0598493568958805e-05,3.784628030802626,0.1136183673132075,6.066241128874068,0.777583699601576
grip_strength,0,102.73190038174236,101.50188879512292,103.4087025855581,102.68229997652666,1.8130026442039489,3.725768103042899,3.0049182836760053,88.3311983191264,4.347930344720815,33891.856776626984
grip_strength,1,104.33395760153668,102.79512122876412,105.14529575027052,104.22185450821716,1.9676385039061648,4.211752968429557,3.03009490829369,99.93113372593882,4.301834945263988,34079.46317555899
grip_strength,2,105.6510283640824,103.88666828087406,106.45276912452948,105.45335696506272,2.0786120350556656,4.664957121690804,2.8900656939146545,67.05770606667201,4.265299468834483,34269.15810401042
grip_strength,5,108.06432711004294,106.08695044820097,108.6115345048336,107.43547677949807,2.3895730550691296,5.755822888638714,2.7574148889395063,44.010559442241096,4.200561943167175,34524.08072842758
hdl,0,273.02880413568096,286.0173185893743,286.18497929813543,286.6963239978178,0.0943689453678615,0.3608479303609094,1.053342528095592,0.0133462094500572,1.5209483419595315,0.0985428282036208
hdl,1,275.9667444921803,287.6745618316381,287.594565505846,287.92230373781445,0.0943702716255138,0.3841466677723948,1.1526493591708786,0.0182392103559685,1.6947748964928575,0.1670258163357219
hdl,2,278.7095614313336,290.23318036640325,290.1082267706208,290.2767761180271,0.0943702716255138,0.4090876853479991,1.2549618277157395,0.024836629468341,1.8728009034704869,0.2888964045214643
hdl,5,287.1839024618663,298.25976523906155,299.0191889701718,298.63063576446933,0.0943702716255138,0.4899054881887819,1.3410239485530788,0.0348211285502868,2.357847178992241,1.299214720338451
height,0,1278.6681098747267,1311.7943809248147,1305.7567697810896,1315.9435950199147,0.2425846302546161,0.8017754133660564,1.4856598251492432,0.0762976334799495,2.599412306671999,5.283899989115696
height,1,1282.0488396407618,1314.910208410105,1309.261708120114,1319.593701824325,0.242639184410754,0.8112966589741542,1.4875755195720002,0.0769510463324315,2.633432610166171,5.951132867862388
height,2,1285.2953476882742,1317.9890773182335,1312.6843740998129,1323.185266000001,0.2426937508354185,0.8217620738864677,1.4884109505418792,0.0773487246194571,2.663568893140714,6.619614311253842
height,5,1289.1587032575626,1319.930586004515,1315.7400782223024,1326.8292044131615,0.2428029205013636,0.8388448462448319,1.5437537515947617,0.0927778371366748,2.780540607257331,9.839418381187508
hypothyroidism,0,57.88322302469577,57.29027608227308,58.62230870630901,58.46026765269952,0.0040360545858961,0.0007281677581543,7.383657194967329,3.260152086581193,10.0,107.95482956647342
hypothyroidism,1,58.64557099606769,57.82735692488749,59.19648263151959,59.06316847100553,0.005533102939072,0.001602182242723,4.32003452884063,0.1367237094253464,7.035083968378455,5.913694798064362
hypothyroidism,2,59.45265563022087,58.48616416875959,59.84813479822069,59.71061863540732,0.0069407475746115,0.0027540119495548,3.377024135687653,0.0537785537836051,5.898481277697775,2.0486254875060426
hypothyroidism,5,57.93020322298122,57.18047616213505,58.02324439357397,57.74009070759458,0.0078474139556502,0.0025100514131604,2.4704011648349637,0.0189777753995698,4.215841525365508,0.2191817303302262
ibd,0,39.47748061815568,38.27554339922693,39.94520770776994,39.71229262064142,0.0030933544592302,0.0014307587357495,3.128529873407614,0.0079212284355454,5.435159953949091,0.0661530242149788
ibd,1,39.47748061815568,38.27554339922693,39.94520770776994,39.71229262064142,0.0030933544592302,0.0014307587357495,3.128529873407614,0.0079212284355454,5.435159953949091,0.0661530242149788
ibd,2,39.47748061815568,38.27554339922693,39.94520770776994,39.71229262064142,0.0030933544592302,0.0014307587357495,3.128529873407614,0.0079212284355454,5.435159953949091,0.0661530242149788
ibd,5,35.188063627521004,34.455295929523984,35.81648607457667,35.57408182362536,0.0014368845497197,0.0001058003987932,9.363553657267463,0.043719042933953,10.0,0.1266450614135635
ldl,0,184.50254068709583,203.4393807276091,206.6631731941607,206.1160141901474,0.022457798843437,0.1486426894869147,0.7806953756368475,0.0043420709960492,1.2085873362930968,0.0229461006630285
ldl,1,192.8312435444634,206.07505951956847,207.8750029001225,206.9498558082053,0.0384125073399122,0.1764834973602053,0.9643201510131232,0.0075961894488308,1.460657949838243,0.0468845755040382
ldl,2,193.9341409411432,207.3378493522906,208.73160294404644,207.86109539889748,0.0384989795902369,0.1892139382063741,0.9980063380363132,0.008576320302353,1.5767707370528614,0.0663395101134199
ldl,5,198.28120682096,213.89228265026117,215.2317581249452,214.0191086669389,0.0386203678707407,0.2390379176649932,1.078925405132473,0.011822412344089,1.8067739716735256,0.1475466100013559
malignant_neoplasms,0,19.390262015591198,18.7757656699154,19.39212382141785,18.868726223036784,0.086986753999682,0.1287916464893886,2.027909784798976,0.0939829527426761,3.4404187127153527,3.9901387974095943
malignant_neoplasms,1,21.10272142163051,20.07198782874575,21.43181433816544,20.72447469378637,0.1130121142878562,0.2019069959283415,2.961291254224018,1.037911745554715,5.437085655891217,792.6105498896237
malignant_neoplasms,2,21.814088964491724,20.70065265962513,22.00356325904436,21.15759741164261,0.1390790510379901,0.2467381636236901,2.59449879655229,0.5704164202798306,4.63054384944171,153.21440701686404
malignant_neoplasms,5,18.165536710442986,17.370545280737364,18.17151455769572,17.58554807505004,0.1410950308207881,0.252846208303799,2.1027630462706246,0.1923042947173777,3.874955793119537,31.143169371266357
pulse_rate,0,173.8573498649066,172.61058578107094,173.8573688496264,173.9140930967108,0.2026461145823186,0.3427562254329,1.999698939919472,0.2024874493587468,3.2579108849893528,13.131931205062608
pulse_rate,1,176.24479699785508,174.49190955729006,176.24819708977188,176.09117569467364,0.2183044054531664,0.3746139833223366,2.0122338220011446,0.2261591591232936,3.36068644819864,19.91398666942754
pulse_rate,2,178.33183141949917,176.21173609104642,178.3620975437058,178.10168487074975,0.2217677741246615,0.4051740304517285,2.077873785476551,0.2874433464571336,3.4387230533339634,27.779346253636728
pulse_rate,5,181.8219988376385,178.72840647043813,182.3836283903965,181.99282018226023,0.2675122967189359,0.4689673180323983,2.471953865291674,0.997109956902687,3.9832017542541793,169.56519374714148
rbc,0,296.0856345617969,301.277585497871,300.0892642411212,301.3332470228086,0.2204254412040623,0.3822080278546594,1.128173408239289,0.0164287336664959,1.829834719829414,0.2285695136272357
rbc,1,302.32656025157684,304.2950635521987,303.38743343063146,304.3880139269445,0.2265051729879923,0.4114401225070271,1.4520482227515357,0.0472308501033207,2.2449588177914945,0.8620142393004508
rbc,2,305.6021830215187,306.381558356284,305.95994973608987,306.75981063183855,0.2599224248827068,0.4348405917970556,1.7933443471873307,0.1355392265545669,2.5168288125650617,2.0772070794495106
rbc,5,313.09411627051594,312.05743145340693,313.108949405564,313.30499526555093,0.2755095889080552,0.5042393319667773,1.9615268286186611,0.2471111568109712,2.9487200617584755,9.132175157141065
sbp,0,271.33997087137345,267.3776314671646,274.11193726339815,273.16627706998275,0.4993873074261048,0.9189791625540448,2.6673989369143056,3.99400587817164,4.476344955814937,2785.4790818303118
sbp,1,272.36664593079576,268.1331468687918,275.6264516237352,274.7541147264945,0.5031067640337641,0.9493829025776594,2.741679393652195,5.182653240089737,4.625970865683636,4753.815363914795
sbp,2,273.7968149757537,269.2456660104677,277.2897764125921,276.5411225577278,0.5312426919875298,0.985767314702534,2.7224189542714443,4.967375451083205,4.696276555597482,6312.87000416743
