trait,sample,ll_neut,ll_dir,I1_dir,ll_stab,I2_stab,ll_plei,Ip_plei,ll_full,I1_full,I2_full
arthrosis,0,80.98610410778056,81.059942098706,-0.00011328124999999999,86.87723472866682,0.23134377207339724,86.94583460412363,0.6416523729211024,86.90694059867535,-6.067935136883325e-05,0.25175180900519284
asthma,0,50.149926402524194,50.158015939480926,1.5625e-05,52.511479764448055,0.029098271216954484,52.1340651493877,0.0395875471601628,52.542690707676385,2.3368794646842185e-05,0.032534847265177136
bc,0,95.7988796683579,100.46683655084652,-0.000248046875,103.00599112639284,0.023438071511909075,104.34067169208231,0.04161388678090961,106.5804173090532,-0.00016022417514625437,0.020994240044502115
bmi,0,657.5794237236402,658.2449242447829,-0.00014843750000000002,754.9639827649189,0.8076562580268215,783.346411785651,4.003964648413272,756.2564798981521,-0.00011859134620248357,0.8931289233359403
cad,0,28.726195111235135,29.371349537253835,-0.00014062500000000002,33.73065531427023,0.03948974915140617,34.2327517695842,0.11221446109527294,34.09577053075294,-7.169855115770943e-05,0.03551326394828575
dbp,0,334.7562511516084,336.8128322843725,0.00037109375,374.40102883985014,0.7495570399929883,377.71506318890346,2.0780278665369347,375.5834377187851,0.0001860752627426349,0.753372358179202
diverticulitis,0,62.966346180780214,63.00038461886372,-3.90625e-05,66.94490281352611,0.058425382255434685,67.31862410683198,0.12173761936929547,66.98040533535674,-2.5724047051880966e-05,0.0545205428983002
fvc,0,529.0988000427327,530.2925724322354,-0.0002578125,602.5652100404906,1.0867579165066876,618.4507747900383,3.946311892335261,602.9776082324495,-8.931271938317372e-05,1.0854221017943912
gallstones,0,40.62112069821627,40.64369946138977,-2.734375e-05,42.86655162385542,0.01758793466905734,42.237731001524956,0.017581015034194812,42.90042125740677,-2.0918265006912402e-05,0.01676160208205539
glaucoma,0,27.705758910178893,28.618788251726045,-0.00021484375000000003,28.134155625454188,0.007536130971214748,27.89786966310461,0.0031661909949590125,28.89070713195392,-0.00016397198059712542,0.006848939211427824
grip_strength,0,257.08573374336953,263.2026692136855,0.0016562500000000002,274.05606712723824,2.118246817080775,275.27978361312375,5.35319768219159,278.6596245670557,0.0010556344761990016,1.9671495142627622
hdl,0,483.97876518890723,485.24625805264077,0.00010156250000000001,537.9255087561247,0.09437027162551385,572.9993087799171,0.6976344680991604,539.0015070207199,6.997109685759295e-05,0.09366002076053159
height,0,1058.5611599186059,1059.0336669140472,5.5664062499999995e-05,1249.1381885068427,0.24073706906056994,1292.959479838959,0.8890991505376973,1249.6117244207173,3.679358094530923e-05,0.24082956064483022
hypothyroidism,0,119.01383805553985,122.74948696701178,-0.00021679687500000003,119.95808000851831,0.0046283872388390565,119.69882117837443,0.0025852348395621967,123.16286547444923,-0.00018945869216304348,0.0034277758885709916
ibd,0,83.4659038056444,83.48389375363388,9.765625e-06,85.63990929959726,0.0032414713506726256,84.80986422816532,0.0025236339844446217,85.68984736079035,1.1581986836844312e-05,0.0034689070000988105
ldl,0,316.39184184571883,323.39723333947904,0.00022851562499999999,332.84810282474854,0.02251847949492363,365.8126264284469,0.27402675555985034,337.6403376299544,0.0001464093409304041,0.02255972839064158
malignant_neoplasms,0,28.6519356082699,33.154273987228045,-0.0006640624999999999,32.75335658711841,0.08683041465845948,32.31800581029011,0.13365985220429144,36.237380827175045,-0.0004303938425844088,0.07837729545352583
pulse_rate,0,326.9510977200702,326.95861947307407,-2.734375e-05,365.2326167242976,0.2778738358577219,373.21075719584724,0.7360697080723454,365.2762092927353,-2.5621583662996363e-05,0.2725244580674336
rbc,0,528.6830016949611,528.6916905797738,-2.9296875e-05,580.4079082458026,0.3027975408508826,600.2539353942303,0.7668612565948845,580.4423150249279,-1.4207172083843143e-05,0.3031619757845036
sbp,0,544.1821118756212,545.7031591813135,0.000232421875,626.4395131321132,0.7420106799741568,635.6264563844263,2.1634967642523515,627.6362424185673,0.00013967751318496333,0.7436599540845917
scz,0,127.60827167148025,128.343070906266,-0.000171875,132.85590329355247,0.06593873709896639,132.60971783516166,0.14841724817066446,133.37250250712137,-9.823570256172352e-05,0.06478837600192305
t2d,0,117.98378287045261,119.08832911031185,0.000130859375,119.59289667952208,0.014544383338662661,122.04653149012329,0.036392403760446265,120.25043883393012,8.532496076077225e-05,0.015661075716718157
triglycerides,0,392.3850926667112,392.45902139660984,-3.3203125e-05,424.29665163525937,0.11042474531006427,452.8032182619357,0.6319868004836835,424.3493604785532,-1.80835307552699e-05,0.11039048589015155
urate,0,354.7471361139881,355.8144266594233,0.00012890625,373.01657244596925,0.08733954749150406,398.7177766599193,0.7592687190006113,373.62545689526337,8.487343337944264e-05,0.08747855064218242
uterine_fibroids,0,35.401772869716,37.03978559443192,-0.00017871093750000002,39.39509702353461,0.019863092954522526,38.57363701367061,0.036435391256655035,40.45581673866253,-0.0001119762716468814,0.019678991361449336
varicose_veins,0,89.06973597328567,89.0885090150988,-2.1484375e-05,91.84351448505825,0.024793391460988752,93.80609145607333,0.05559917653095148,91.86694329667965,-1.94253781592124e-05,0.024726170424812517
wbc,0,390.74251845365444,390.811561584234,5.46875e-05,426.5437394580336,0.3756684193199323,431.27169187585486,0.7908973441754976,426.64983458460154,3.9774004191713405e-05,0.37810271266773815
