trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	true	1e-08	0	57			1e-100	88.09	-0.0007	88.45	1e-05	88.14	0.00034	88.41
IBD	plei	true	1e-08	0	58			1e-100	81.33	-0.0	81.33	-6e-05	82.6	0.0	81.35
IBD	plei	true	1e-08	0	59			1e-100	77.46	-0.0	77.45	-4e-05	78.18	0.0	77.46
IBD	plei	true	1e-08	0	60			1e-100	89.31	-0.00124	90.44	3e-05	89.68	0.00084	90.15
IBD	plei	true	1e-08	0	61			1e-100	81.59	-0.0	81.59	5e-05	82.33	0.0	81.6
IBD	plei	true	1e-08	0	62			1e-100	84.92	-0.00181	86.7	-5e-05	85.81	0.00255	87.34
IBD	plei	true	1e-08	0	63			1e-100	77.06	-0.0	77.06	3e-05	77.34	0.0	77.06
IBD	plei	true	1e-08	0	64			1e-100	92.92	-0.00165	94.25	-7e-05	94.83	0.0025	95.09
IBD	plei	true	1e-08	0	65			1e-100	82.59	-0.0	82.59	0.0	82.59	0.0	82.59
IBD	plei	true	1e-08	0	66			1e-100	78.61	-0.0	78.61	2e-05	78.88	0.0	78.62
IBD	plei	true	1e-08	0	67			1e-100	88.67	-0.00028	88.71	0.0	88.67	0.00019	88.85
IBD	plei	true	1e-08	0	68			1e-100	75.46	-0.0	75.46	1e-05	75.49	0.0	75.46
IBD	plei	true	1e-08	0	69			1e-100	82.85	-0.00044	82.97	1e-05	82.91	0.0001	82.92
IBD	plei	true	1e-08	0	70			1e-100	87.8	-0.00097	88.25	-3e-05	88.06	0.00046	88.2
IBD	plei	true	1e-08	0	71			1e-100	72.59	-0.0	72.59	2e-05	72.79	0.0	72.59
IBD	plei	true	1e-08	0	72			1e-100	78.65	-0.0	78.65	2e-05	78.9	0.0	78.64
IBD	plei	true	1e-08	0	73			1e-100	81.9	-4e-05	81.9	2e-05	82.06	0.0	81.89
IBD	plei	true	1e-08	0	74			1e-100	95.87	-0.00201	97.58	-2e-05	96.09	0.00305	98.25
IBD	plei	true	1e-08	0	75			1e-100	79.3	-0.0	79.3	0.0	79.3	0.0	79.3
IBD	plei	true	1e-08	0	76			1e-100	82.38	-0.0	82.38	5e-05	83.23	0.0	82.37
IBD	plei	true	1e-08	0	77			1e-100	78.4	-0.0	78.4	-2e-05	78.5	0.0	78.4
IBD	plei	true	1e-08	0	78			1e-100	81.67	-0.00149	82.43	5e-05	82.62	0.00112	82.49
IBD	plei	true	1e-08	0	79			1e-100	92.62	-0.00072	92.82	3e-05	93.02	0.00043	92.93
IBD	plei	true	1e-08	0	80			1e-100	85.61	-0.0	85.61	-5e-05	86.56	2e-05	85.62
IBD	plei	true	1e-08	0	81			1e-100	82.35	-0.0	82.35	0.0	82.36	0.0	82.34
IBD	plei	true	1e-08	0	82			1e-100	82.53	-0.0	82.53	3e-05	82.88	0.0	82.53
IBD	plei	true	1e-08	0	83			1e-100	85.39	-0.00085	85.68	-3e-05	85.64	0.00062	85.84
IBD	plei	true	1e-08	0	84			1e-100	81.78	-0.0	81.78	4e-05	82.39	0.0	81.79
IBD	plei	true	1e-08	0	85			1e-100	88.3	-0.0006	88.39	4e-05	88.84	0.00058	88.65
IBD	plei	true	1e-08	0	86			1e-100	83.73	-0.0	83.73	-6e-05	85.21	0.0	83.74
IBD	plei	true	1e-08	0	87			1e-100	83.37	-0.00014	83.38	-0.0	83.37	0.00019	83.53
IBD	plei	true	1e-08	0	88			1e-100	83.66	-0.00085	83.88	-1e-05	83.72	0.00112	84.38
IBD	plei	true	1e-08	0	89			1e-100	78.15	-0.00015	78.15	3e-05	78.53	2e-05	78.16
IBD	plei	true	1e-08	0	90			1e-100	89.08	-0.00294	91.35	-0.0	89.08	0.0029	91.11
IBD	plei	true	1e-08	0	91			1e-100	89.66	-6e-05	89.67	2e-05	89.81	2e-05	89.67
IBD	plei	true	1e-08	0	92			1e-100	90.55	-0.00066	90.7	-2e-05	90.64	0.00024	90.69
IBD	plei	true	1e-08	0	93			1e-100	80.06	-0.00034	80.1	1e-05	80.09	0.00024	80.25
IBD	plei	true	1e-08	0	94			1e-100	83.23	-0.00038	83.27	-2e-05	83.35	0.00014	83.33
IBD	plei	true	1e-08	0	95			1e-100	82.94	-0.0	82.94	3e-05	83.29	0.0	82.95
IBD	plei	true	1e-08	0	96			1e-100	80.61	-0.0	80.61	-6e-05	81.96	0.0	80.61
IBD	plei	true	1e-08	0	97			1e-100	82.17	-0.0	82.17	4e-05	82.92	0.0	82.18
IBD	plei	true	1e-08	0	98			1e-100	82.93	-0.00033	83.01	-3e-05	83.34	6e-05	82.99
IBD	plei	true	1e-08	0	99			1e-100	78.85	-0.0	78.85	-7e-05	80.85	0.0	78.86
