trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	true	1e-08	0	80		0		71.12	-0.0	71.12	-3e-05	71.44	0.0	71.12
IBD	stab	true	1e-08	0	81		0		83.33	-0.00048	83.42	3e-05	83.7	0.00041	83.65
IBD	stab	true	1e-08	0	82		0		75.9	-0.00061	76.09	3e-05	76.25	0.00022	76.12
IBD	stab	true	1e-08	0	83		0		90.31	-0.00033	90.35	-0.00013	94.78	0.00019	90.43
IBD	stab	true	1e-08	0	84		0		78.39	-0.0	78.39	-2e-05	78.48	0.0	78.4
IBD	stab	true	1e-08	0	85		0		87.19	-0.0	87.19	-1e-05	87.22	0.0	87.19
IBD	stab	true	1e-08	0	86		0		80.84	-0.0	80.84	1e-05	80.85	1e-05	80.85
IBD	stab	true	1e-08	0	87		0		79.6	-0.0	79.6	-3e-05	79.87	0.0	79.61
IBD	stab	true	1e-08	0	88		0		85.63	-0.00069	85.92	-1e-05	85.68	0.00057	86.17
IBD	stab	true	1e-08	0	89		0		86.89	-0.0	86.89	4e-05	87.49	8e-05	86.94
IBD	stab	true	1e-08	0	90		0		78.74	-0.0	78.73	5e-05	79.63	0.0	78.74
IBD	stab	true	1e-08	0	91		0		82.31	-0.00122	83.1	0.0	82.31	0.00152	83.76
IBD	stab	true	1e-08	0	92		0		81.24	-0.0	81.24	3e-05	81.74	0.0	81.23
IBD	stab	true	1e-08	0	93		0		83.7	-0.0	83.7	3e-05	84.07	0.0	83.71
IBD	stab	true	1e-08	0	94		0		76.2	-0.0	76.2	-4e-05	76.73	0.0	76.2
IBD	stab	true	1e-08	0	95		0		78.98	-0.00027	79.01	6e-05	80.44	0.0	78.99
IBD	stab	true	1e-08	0	96		0		85.19	-2e-05	85.19	0.0	85.19	0.00025	85.47
IBD	stab	true	1e-08	0	97		0		72.61	-0.00107	73.16	-2e-05	72.7	0.00078	73.3
IBD	stab	true	1e-08	0	98		0		79.0	-0.00139	80.34	-4e-05	79.85	0.00082	79.93
IBD	stab	true	1e-08	0	99		0		82.03	-0.0	82.03	1e-05	82.05	1e-05	82.05
