trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	hat	1e-08	0	77			1e-100	78.4	-0.0	78.4	-2e-05	78.64	0.0	78.4
IBD	plei	hat	1e-08	0	78			1e-100	81.67	-0.0016	82.72	5e-05	82.64	0.00124	82.67
IBD	plei	hat	1e-08	0	79			1e-100	92.62	-0.00097	93.09	2e-05	92.84	0.00069	93.17
IBD	plei	hat	1e-08	0	80			1e-100	85.61	-8e-05	85.61	-4e-05	86.34	0.00011	85.71
IBD	plei	hat	1e-08	0	81			1e-100	82.35	-0.0	82.35	1e-05	82.38	0.0	82.34
IBD	plei	hat	1e-08	0	82			1e-100	82.53	-0.0	82.53	3e-05	82.78	0.0	82.53
IBD	plei	hat	1e-08	0	83			1e-100	85.39	-0.00115	86.19	-2e-05	85.6	0.00097	86.21
IBD	plei	hat	1e-08	0	84			1e-100	81.78	-0.0	81.78	4e-05	82.37	0.0	81.79
IBD	plei	hat	1e-08	0	85			1e-100	88.3	-0.00097	88.57	3e-05	88.65	0.001	88.94
IBD	plei	hat	1e-08	0	86			1e-100	83.73	-0.0	83.73	-6e-05	85.05	0.0	83.74
IBD	plei	hat	1e-08	0	87			1e-100	83.37	-0.00064	83.63	1e-05	83.4	0.00045	83.81
IBD	plei	hat	1e-08	0	88			1e-100	83.66	-0.0015	84.29	-0.0	83.66	0.00175	84.83
IBD	plei	hat	1e-08	0	89			1e-100	78.15	-0.00039	78.21	3e-05	78.49	8e-05	78.21
IBD	plei	hat	1e-08	0	90			1e-100	89.08	-0.00297	91.82	0.0	89.08	0.00306	91.39
IBD	plei	hat	1e-08	0	91			1e-100	89.66	-0.00029	89.69	2e-05	89.77	7e-05	89.7
IBD	plei	hat	1e-08	0	92			1e-100	90.55	-0.00043	90.61	-1e-05	90.57	0.00017	90.65
IBD	plei	hat	1e-08	0	93			1e-100	80.06	-0.00091	80.48	1e-05	80.07	0.00049	80.53
IBD	plei	hat	1e-08	0	94			1e-100	83.23	-0.00062	83.37	-1e-05	83.31	0.00024	83.41
IBD	plei	hat	1e-08	0	95			1e-100	82.94	-0.0	82.94	3e-05	83.3	0.0	82.95
IBD	plei	hat	1e-08	0	96			1e-100	80.61	-0.00031	80.66	-6e-05	81.88	8e-05	80.67
IBD	plei	hat	1e-08	0	97			1e-100	82.17	-0.0	82.17	5e-05	83.02	0.0	82.18
IBD	plei	hat	1e-08	0	98			1e-100	82.93	-0.00034	83.01	-3e-05	83.26	8e-05	83.02
IBD	plei	hat	1e-08	0	99			1e-100	78.85	-0.0	78.85	-7e-05	80.64	0.0	78.86
