trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	ash	1e-08	0	67			1e-100	88.67	-0.00021	88.69	-0.0	88.67	0.00019	88.84
IBD	plei	ash	1e-08	0	68			1e-100	75.46	-0.0	75.46	1e-05	75.51	0.0	75.46
IBD	plei	ash	1e-08	0	69			1e-100	82.85	-0.00032	82.9	2e-05	83.01	8e-05	82.9
IBD	plei	ash	1e-08	0	70			1e-100	87.8	-0.00093	88.21	-3e-05	88.2	0.0005	88.24
IBD	plei	ash	1e-08	0	71			1e-100	72.59	-0.0	72.59	3e-05	72.94	0.0	72.59
IBD	plei	ash	1e-08	0	72			1e-100	78.65	-0.0	78.65	3e-05	78.9	0.0	78.64
IBD	plei	ash	1e-08	0	73			1e-100	81.9	-0.0	81.9	3e-05	82.22	0.0	81.89
IBD	plei	ash	1e-08	0	74			1e-100	95.87	-0.00167	97.1	-3e-05	96.2	0.00262	97.87
IBD	plei	ash	1e-08	0	75			1e-100	79.3	-0.0	79.3	1e-05	79.32	0.0	79.3
IBD	plei	ash	1e-08	0	76			1e-100	82.38	-0.0	82.38	5e-05	83.24	0.0	82.37
IBD	plei	ash	1e-08	0	77			1e-100	78.4	-0.0	78.4	-2e-05	78.6	0.0	78.4
IBD	plei	ash	1e-08	0	78			1e-100	81.67	-0.00138	82.36	5e-05	82.64	0.00101	82.42
IBD	plei	ash	1e-08	0	79			1e-100	92.62	-0.0007	92.83	2e-05	92.84	0.00045	92.95
IBD	plei	ash	1e-08	0	80			1e-100	85.61	-0.0	85.61	-4e-05	86.24	3e-05	85.63
IBD	plei	ash	1e-08	0	81			1e-100	82.35	-0.0	82.35	1e-05	82.37	0.0	82.34
IBD	plei	ash	1e-08	0	82			1e-100	82.53	-0.0	82.53	3e-05	82.79	0.0	82.53
IBD	plei	ash	1e-08	0	83			1e-100	85.39	-0.00096	85.84	-3e-05	85.64	0.00072	85.93
IBD	plei	ash	1e-08	0	84			1e-100	81.78	-0.0	81.78	4e-05	82.38	0.0	81.79
IBD	plei	ash	1e-08	0	85			1e-100	88.3	-0.00033	88.32	3e-05	88.61	0.00057	88.64
IBD	plei	ash	1e-08	0	86			1e-100	83.73	-0.0	83.73	-6e-05	84.94	0.0	83.74
