trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
bmi	matched_original_post	791	0	24.229708620811437	39.07334474071615	1.8226338932569774	25.721964749095832	46.45941724162287	76.1466894814323	1.6452677865139549	47.443929498191665	14.843636119904716
bmi	raw_z2	791	471	23.737537229545183	34.02896161993897	2.199750310072261	25.612543728688934	45.475074459090365	66.05792323987794	2.399500620144522	47.22508745737787	10.291424390393786
bmi	raw_z5	791	13	31.35415993568114	41.54370490112058	1.9904368105189292	32.9207358625917	60.70831987136228	81.08740980224115	1.9808736210378584	61.841471725183396	10.189544965439438
cad	matched_original_post	49	0	1.8173132040499773	2.808125178133917	0.19666349007409778	1.9467189123101214	1.6346264080999546	3.616250356267834	-1.6066730198518044	-0.1065621753797572	0.9908119740839396
cad	raw_z2	49	43	0.18319027985583958	1.2376199764054725	0.6342204980309063	0.7629143170943458	-1.6336194402883208	0.475239952810945	-0.7315590039381874	-2.4741713658113085	1.054429696549633
cad	raw_z5	49	35	0.2437000147735482	1.585948992504047	0.1443497149509092	0.37734380605500206	-1.5125999704529036	1.1718979850080942	-1.7113005700981816	-3.245312387889996	1.342248977730499
dbp	matched_original_post	400	0	5.813913170418402	8.429268133275343	0.16594794076871722	5.9452830469879245	9.627826340836805	14.858536266550686	-1.6681041184625656	7.890566093975849	2.615354962856941
dbp	raw_z2	400	344	6.116386271389615	8.9146829621709	1.1269215032635884	7.060591335720858	10.23277254277923	15.8293659243418	0.25384300652717684	10.121182671441716	2.798296690781285
dbp	raw_z5	400	40	7.576550648167398	10.204123570885656	0.07446418812219235	7.594648149781364	13.153101296334796	18.408247141771312	-1.8510716237556153	11.189296299562727	2.627572922718258
hdl	matched_original_post	488	0	-0.0025869451021662826	0.8976845411331453	1.1116202162820343	1.1277435497949853	-2.0051738902043326	-0.20463091773370934	0.22324043256406867	-1.7445129004100295	0.9002714862353116
hdl	raw_z2	488	226	-0.0025869451021662826	0.9638640783363428	0.06237673261051668	0.0645290811828545	-2.0051738902043326	-0.0722718433273144	-1.8752465347789666	-3.870941837634291	0.9664510234385091
hdl	raw_z5	488	26	0.02999777887563937	1.8509064320045354	0.7712985879012138	0.7667688865360276	-1.9400044422487213	1.7018128640090708	-0.4574028241975725	-2.466462226927945	1.820908653128896
