trait,sample,ll_neut,ll_dir,I1_dir,ll_stab,I2_stab,ll_plei,Ip_plei,ll_full,I1_full,I2_full
asthma,0,5.468461207403463,6.145082165336812,0.0010078125,5.468420409737543,1.995262314968834e-07,5.473292274135359,0.002599224248827067,6.143664935281791,0.0009127180328359983,1e-08
bc,0,1.91931494861953,2.2491265713431683,-0.00029687500000000005,1.9193357713434431,1.995262314968834e-07,1.917752364806115,3.548133892335688e-07,2.2502388388350125,-0.00030508588734301777,1e-08
bmi,0,20.612749439410806,22.853059823163314,0.0012890624999999998,23.710646708908943,0.2909172886216063,23.72844412048203,0.7170780127583808,24.74132006314748,0.0005280052428315669,0.21466359995068046
cad,0,9.635582956467521,9.646673969475112,-1.5625e-05,10.30569993268011,0.0031445506452796004,10.048764282009198,0.0024506552844861616,10.304627330511288,-2.5794603370741253e-05,0.0034817209945953885
dbp,0,4.761753730660763,4.858709290464193,0.0006875,4.76164108283555,7.943282347242691e-06,4.769120918109614,0.00010636647204261254,4.858924096917038,0.0006758753747552665,1.0003419899768401e-08
gallstones,0,3.9470872588155546,3.9763301090932415,3.5156250000000004e-05,6.327374869272723,0.021040055205620745,6.587407340094514,0.17166919981513382,6.353790735224798,1.9046590232505883e-05,0.021165715918344617
hdl,0,17.143658620193797,17.39085924286715,-8.880615234375e-05,22.764580643350172,0.06517221776731014,22.56621221105859,0.15410523171157248,22.91748799339374,-3.8566622125813474e-05,0.05909018033940556
height,0,143.78536981300257,149.76932082180494,0.0007734375000000001,165.64941355991937,0.5756470057439784,166.11503285467273,1.3647672546020764,168.84879311218003,0.00042802010454033585,0.5747020662788136
ldl,0,15.248787788937477,17.004356077311584,-0.00020458984375000002,21.062207336251937,0.018659432772195887,22.573568795398295,0.12116411749133889,21.779843525682026,-8.879278191249188e-05,0.018566905248607782
rbc,0,26.174785494482677,26.236276341045603,0.000109375,26.196684249390522,0.006675929146606459,26.671420225698164,0.04487221822205335,26.25804172780898,9.738868233580443e-05,0.009036932513884481
sbp,0,12.416735547935147,13.031304258123367,-0.00042187499999999994,12.67095692021381,0.003371568838535013,13.543743663871775,0.2405747260933982,14.614186572673114,-0.00015194756443816107,0.33794262522835233
t2d,0,36.26373156071798,40.14906061838794,-0.00023046875,42.602612557725806,0.015114525973577266,42.956482459159155,0.03424865767888491,44.66033945869252,-0.0001374287642538548,0.012315005498960434
triglycerides,0,7.155435291042774,7.30015478071636,-0.00013867187500000001,7.192499895505705,0.0022306811635568846,7.249846039957342,0.0018391791015621819,7.347462946044442,-8.442125349574788e-05,0.002202645999700461
uterine_fibroids,0,2.605774011794272,2.605779497391894,0.0,2.6991581421188013,0.001340869383822736,2.635105054726646,0.000980131122376083,2.7665742318123447,8.254855483343696e-06,0.00439651588918269
