beta	beta_hat	raf	se
0.31051468208735633	0.27190290696280917	0.5155540590513072	0.01788249771347573
0.1135183391834346	0.13861135644087977	0.49688821126137744	0.017874189201502477
0.14078132144511182	0.1241841652370477	0.7074332508269334	0.019644126707437662
0.3422356857675434	0.36204525017804623	0.8354887682619194	0.024105706203958233
0.11903930579198528	0.11465347220210015	0.2627320397598563	0.020305736437204916
0.10942225064226391	0.12448832011938504	0.6535133707079769	0.018780946057111923
0.20564118655315994	0.20463578026370205	0.6478627421350176	0.018710717973199946
0.18794422669300537	0.2158576234251062	0.7074332508269336	0.019644126707437665
0.14147874802635801	0.13206390672222074	0.527976816536591	0.017901888704646214
0.19795167374376071	0.19701026759565757	0.6306623102032254	0.018517301220335295
0.2727051699911888	0.2675303290597349	0.9225968718936965	0.033442805197957046
0.14701765172511225	0.15417069789684953	0.8178463862209776	0.023154381188635036
0.1485299561501617	0.14698367666845466	0.5710806949586387	0.01805724155156041
0.11435524097851345	0.11410917425766867	0.3809979029710022	0.018402659533063626
0.14411211621877	0.09226577687800505	0.7324360794287638	0.02018781443183717
0.11853467566544373	0.13224484935108838	0.5217688493238828	0.017890807373146373
0.1092163724295211	0.12150864305060173	0.5093343890420846	0.017876958577970392
0.15597379312483078	0.1339618956573862	0.28239936725503617	0.01985247592368368
0.17607841004135022	0.1686431442751964	0.5031117887386225	0.017874189201502477
0.14488978553242207	0.1326818149185397	0.8178463862209776	0.023154381188635036
0.125740469949134	0.14312954430779187	0.7605564208625994	0.020942119226674126
0.11870106049170281	0.12098083856841392	0.527976816536591	0.017901888704646214
0.3858089438538568	0.36070100511315584	0.9420559157143769	0.038251198892416564
0.46865145022771815	0.46243990407515495	0.982994363097829	0.06912194966962765
0.26307169996517904	0.256419306610134	0.8774578195843106	0.027254110855001706
0.14345909991911712	0.1505949116350833	0.3809979029710022	0.018402659533063626
0.14608040322211416	0.1242364578657504	0.8354887682619194	0.024105706203958233
0.1330462740337108	0.15064135892247157	0.44729806239880043	0.01797396708875521
0.16310821620421345	0.17585078521886782	0.7176006327449638	0.01985247592368368
0.30745525894257864	0.309633491079076	0.8800616560516855	0.02750757909820095
0.1517514488431693	0.16976756377657296	0.7514168008280466	0.020678146462368648
0.13235101489898404	0.12990461511689994	0.6131183997480134	0.018349605493213107
0.2062730003725486	0.2136580488079214	0.8875788617231639	0.02829179350874918
0.14321673306536048	0.12534767200513802	0.601251547190994	0.018251994750186223
0.1718174548992254	0.15570689352721204	0.8286061872142176	0.023714626453864848
0.1477113168603581	0.15985217550808892	0.7420423342910978	0.02042675516682048
0.1867673728479284	0.22121536401771077	0.7514168008280464	0.02067814646236864
0.20798374071195244	0.19736144890760088	0.6591203959368446	0.01885406762215845
0.5675188427893046	0.4481523648553172	0.981199906039744	0.06580049871889362
0.23271844513120335	0.2619449916987068	0.9172765154027238	0.032443178556764846
0.1499384155401417	0.13207819083885786	0.5527019376011999	0.01797396708875521
0.15370420981399427	0.15495392100099906	0.5403645536118322	0.0179323728862549
0.11171463719913188	0.1196433373240667	0.3029491982703084	0.019447815460628102
0.19470872236944406	0.2014435609190064	0.9172765154027236	0.03244317855676481
0.13844061537885669	0.11080342612236803	0.6364358587873427	0.018578904515585335
0.1128289879516656	0.13130176924620107	0.6306623102032256	0.0185173012203353
0.20029372448120492	0.22465944336648747	0.8991642320048275	0.029679810765038905
0.42337826182740945	0.4029899472723954	0.9652161669621048	0.04877383800122629
0.15687377474094913	0.15075412541833316	0.7738206043730517	0.021361968965864585
0.194283464319525	0.15498053229988187	0.5649738860152088	0.018026694259764643
0.13059755341448392	0.13629888854431213	0.7605564208625994	0.020942119226674126
0.1283921357159874	0.0966349826813652	0.5279768165365909	0.017901888704646214
0.14864534005511845	0.17630125953457135	0.6012515471909938	0.018251994750186223
0.237590028554226	0.24456719010088188	0.8250780421047021	0.023524384249429424
0.14245365574761543	0.11815151193193796	0.7514168008280464	0.02067814646236864
0.21616675090668686	0.22068315647481307	0.7372679602401437	0.020305736437204916
0.13766604904171215	0.13133505180297905	0.2218775073807058	0.021508361158104127
0.1164204484628554	0.08883264715280781	0.6478627421350179	0.018710717973199953
0.14172438702551435	0.12871663387479587	0.7694588623255368	0.021218810054238136
0.10811712353846674	0.12835749842594715	0.6535133707079768	0.018780946057111923
0.22528628749470597	0.2564304492199193	0.5588470221300054	0.01799893738009136
0.17310409006786162	0.17153586492046158	0.8665357962066855	0.026279209079383848
0.2596153475917787	0.27808363102834577	0.7022685188312342	0.019544473018554318
0.20142553756573828	0.1518542031933849	0.863675691501737	0.02604509490218604
0.1161594677441418	0.11735548872142454	0.3082190563283585	0.01935414113485268
0.349277227036627	0.35404500098232156	0.8354887682619195	0.02410570620395824
0.16110846361093203	0.19230661511672534	0.8214915435515757	0.0233376433295649
0.17345743661224766	0.15359512318610158	0.8851215571538438	0.028026393476355743
0.26638141713068614	0.27453236596883157	0.14829983688444293	0.025146308673067125
0.11251079867124703	0.09894135280130166	0.589262829637927	0.018165669865336038
0.36474082410736036	0.4714285717510265	0.9726063921124707	0.0547513417920412
0.13780771616560128	0.1301985721635974	0.7694588623255368	0.021218810054238136
0.2513245709746148	0.2669230612314001	0.765037407013486	0.021078866125068874
0.13115037357013967	0.11617177395412814	0.6306623102032256	0.0185173012203353
0.12408549826450638	0.1425033774700756	0.44115297786999474	0.01799893738009136
0.21611549177546824	0.22587174727086137	0.8800616560516855	0.02750757909820095
0.28348118511951803	0.28782932163774794	0.7781224926192942	0.021508361158104127
0.10495788616720886	0.09740835452964329	0.4167730643984946	0.018126724576075993
0.23755906676828714	0.23018821586238317	0.8800616560516853	0.027507579098200934
0.155167592061679	0.12715789405103137	0.6591203959368442	0.018854067622158445
0.15441163886240256	0.12876197445650572	0.851700163115557	0.02514630867306712
0.26818928687363053	0.2747565757322943	0.9055776940743946	0.03056242316947521
0.16475094576596697	0.20376164355958434	0.8388439411866216	0.024306590209513618
0.16388263232138248	0.15408266153333344	0.8421422323230695	0.02451106840791809
0.35317262299020535	0.35656668162783156	0.7906682366057259	0.021967125541801986
0.36941389437457983	0.40579301662866346	0.962845283372532	0.04725009802191466
0.13354589638766304	0.11764643304904782	0.5031117887386225	0.017874189201502477
0.17290259887324846	0.1641983934266777	0.7372679602401435	0.02030573643720491
0.345228926818252	0.4220548953761765	0.9407483760275682	0.03785306726352397
0.12468890247323997	0.15660869750263506	0.3298012660796632	0.019009031192608446
0.12581440984657058	0.14063402390980229	0.324332284799007	0.01909089413770477
0.12337822773600646	0.11978865851423083	0.6810884313530848	0.019175692442045457
0.13170413390774113	0.11346887058340901	0.6864598388315974	0.019263437513734924
0.11064691256194831	0.1304351692874354	0.6306623102032256	0.0185173012203353
