trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	hat	1e-08	14	2			0.0004618582003369647	78.79	-0.00155	80.53	3e-05	79.45	0.00162	80.93
IBD	plei	hat	1e-08	15	0			0.0004978758691549769	84.34	-0.0	84.34	-5e-05	85.55	0.0	84.34
IBD	plei	hat	1e-08	15	1			0.0004978758691549769	88.74	-0.00155	90.49	-2e-05	88.84	0.00139	90.25
IBD	plei	hat	1e-08	15	2			0.0004978758691549769	83.14	-0.0	83.14	7e-05	84.81	0.0	83.15
IBD	plei	hat	1e-08	16	0			0.0005367023491322102	91.1	-0.00173	93.3	6e-05	92.76	0.00162	93.17
IBD	plei	hat	1e-08	16	1			0.0005367023491322102	93.75	-0.00125	94.78	3e-05	94.22	0.00132	95.17
IBD	plei	hat	1e-08	16	2			0.0005367023491322102	89.26	-0.00107	90.54	-6e-05	90.86	0.00101	90.66
IBD	plei	hat	1e-08	17	0			0.0005785566833213395	89.94	-0.00061	90.23	6e-05	91.79	0.00049	90.49
IBD	plei	hat	1e-08	17	1			0.0005785566833213395	78.84	-0.0	78.84	-3e-05	79.11	0.0	78.84
IBD	plei	hat	1e-08	17	2			0.0005785566833213395	102.35	-0.00077	102.63	-2e-05	102.42	0.00132	103.38
IBD	plei	hat	1e-08	18	0			0.0006236749966848617	88.18	-0.00083	88.64	-1e-05	88.22	0.00032	88.5
IBD	plei	hat	1e-08	18	1			0.0006236749966848617	78.99	-0.00018	79.01	1e-05	79.0	4e-05	79.04
IBD	plei	hat	1e-08	18	2			0.0006236749966848617	83.52	-0.00247	86.32	-1e-05	83.58	0.00295	86.63
IBD	plei	hat	1e-08	19	0			0.0006723118282151488	89.98	-0.00077	90.66	-1e-05	89.99	0.00052	90.63
IBD	plei	hat	1e-08	19	1			0.0006723118282151488	92.48	-0.00061	92.73	-4e-05	93.33	0.00025	92.76
IBD	plei	hat	1e-08	19	2			0.0006723118282151488	86.46	-0.0	86.46	5e-05	87.18	0.0	86.46
IBD	plei	hat	1e-08	20	0			0.0007247415669388932	86.2	-0.00115	86.84	-1e-05	86.2	0.00101	87.14
IBD	plei	hat	1e-08	20	1			0.0007247415669388932	93.23	-0.0029	98.75	3e-05	93.54	0.00418	98.65
IBD	plei	hat	1e-08	20	2			0.0007247415669388932	87.01	-0.00024	87.04	-3e-05	87.29	0.00018	87.19
IBD	plei	hat	1e-08	21	0			0.0007812599999072969	89.44	-0.00153	90.24	-8e-05	91.63	0.00095	90.19
IBD	plei	hat	1e-08	21	1			0.0007812599999072969	79.85	-0.00015	79.87	-2e-05	80.06	0.0	79.86
IBD	plei	hat	1e-08	21	2			0.0007812599999072969	83.92	-0.00131	84.87	-6e-05	85.26	0.00076	84.68
IBD	plei	hat	1e-08	22	0			0.0008421859809051255	85.48	-0.00101	86.48	-2e-05	85.7	0.00057	86.08
IBD	plei	hat	1e-08	22	1			0.0008421859809051255	93.89	-0.00201	96.63	-0.0	93.87	0.00213	96.58
IBD	plei	hat	1e-08	22	2			0.0008421859809051255	77.79	-0.0	77.79	2e-05	77.88	0.0	77.79
IBD	plei	hat	1e-08	23	0			0.0009078632292927976	92.67	-0.00041	92.93	1e-05	92.7	0.00031	93.02
IBD	plei	hat	1e-08	23	1			0.0009078632292927976	88.82	-5e-05	88.82	-0.0	88.81	0.00011	88.9
IBD	plei	hat	1e-08	23	2			0.0009078632292927976	81.0	-0.00163	83.13	-1e-05	81.02	0.00198	83.3
IBD	plei	hat	1e-08	24	0			0.0009786622691298347	87.47	-0.00055	87.59	-6e-05	88.66	0.00015	87.59
IBD	plei	hat	1e-08	24	1			0.0009786622691298347	81.46	-0.0	81.46	-1e-05	81.47	0.0	81.47
IBD	plei	hat	1e-08	24	2			0.0009786622691298347	78.74	-0.0	78.74	2e-05	78.88	0.0	78.75
IBD	plei	hat	1e-08	25	0			0.0010549825195194252	88.67	-0.00112	89.61	-1e-05	88.73	0.0008	89.67
IBD	plei	hat	1e-08	25	1			0.0010549825195194252	85.27	-0.00145	86.26	3e-05	85.67	0.00133	86.49
IBD	plei	hat	1e-08	25	2			0.0010549825195194252	91.09	-0.0006	91.27	3e-05	91.49	0.00012	91.2
IBD	plei	hat	1e-08	26	0			0.0011372545479669453	81.57	-0.0016	82.87	7e-05	83.71	0.00171	83.37
IBD	plei	hat	1e-08	26	1			0.0011372545479669453	81.97	-7e-05	81.97	-3e-05	82.41	2e-05	81.98
IBD	plei	hat	1e-08	26	2			0.0011372545479669453	86.22	-0.00095	86.68	-1e-05	86.28	0.00114	87.2
IBD	plei	hat	1e-08	27	0			0.0012259424994649755	97.49	-0.00314	102.17	-4e-05	98.25	0.00551	103.45
IBD	plei	hat	1e-08	27	1			0.0012259424994649755	82.89	-0.00105	83.5	0.0	82.87	0.00113	83.94
IBD	plei	hat	1e-08	27	2			0.0012259424994649755	92.96	-0.00188	95.29	-5e-05	94.03	0.00247	95.77
IBD	plei	hat	1e-08	28	0			0.001321546715008708	80.01	-0.00184	82.6	5e-05	81.19	0.00182	82.28
IBD	plei	hat	1e-08	28	1			0.001321546715008708	86.3	-0.00095	86.91	3e-05	86.57	0.00045	86.75
