trait,sample,ll_neut,ll_dir,I1_dir,ll_stab,I2_stab,ll_plei,Ip_plei,ll_full,I1_full,I2_full
asthma,0,12.645957464243072,12.6578298239242,5.46875e-05,12.64597247039211,1.995262314968834e-07,12.644657447769866,3.548133892335688e-07,12.657887558744122,5.625764955175402e-05,1e-08
bc,0,2.8160259529001275,5.218286076825264,-0.0006093750000000001,3.5852363884495464,0.012301027977199508,3.5309135192281476,0.026914137619628534,5.412995735515889,-0.00040738871034409383,0.008239832051739077
bmi,0,57.06408197811461,57.29225151201314,0.00025244140625,68.60298925470856,0.5761650028107811,68.23120489753555,2.1258815484604576,68.62751220608136,5.705377246041815e-05,0.5853556345804659
cad,0,25.802378889792735,26.207928223866862,-6.73828125e-05,31.47239552450288,0.015117925035624381,31.784322983591533,0.04310681130562341,31.670541446785855,-2.8971244202693912e-05,0.014493101160418262
dbp,0,13.064643238022015,14.83105084335464,-0.0015625,15.139180555188652,0.5033330739291577,15.20442678997875,1.4878480966822092,16.006393386465724,-0.0007075768936292011,0.4056241235062818
gallstones,0,8.071054007604,8.349355543628194,-8.154296874999999e-05,11.870801282754694,0.020964493531065394,12.041697084548598,0.10546192715290031,11.962193652871601,-2.9288190423331595e-05,0.019483846896409977
hdl,0,27.388247623654653,27.460846032392574,4.6875e-05,38.81641062235329,0.08497611562309414,39.06798150358737,0.3543947704484255,38.87954913369495,2.726263772633348e-05,0.08897520692882159
height,0,249.78810934310886,259.974076436336,0.0008281250000000001,339.9407225529942,1.2563802296809339,344.0989036887681,5.027674899651906,344.730953354744,0.00032408623882701916,1.2635899475879944
ldl,0,23.47209438126064,24.627606975890483,-0.00017138671875,30.87211952566664,0.020997518315294107,33.92332859411925,0.18781508396104396,31.37865841741117,-8.530095228161374e-05,0.02169399091154997
rbc,0,40.92043012434649,40.95761858060749,-7.8125e-05,42.42344149412587,0.08761493134850022,43.39359573662716,0.15554129237041403,42.431245595462,1.326097390065408e-09,0.10422459160205264
sbp,0,21.724163280358493,25.08706903408159,-0.0016250000000000001,26.298299540122,0.5573060401273906,25.036228058565406,1.2956866975170416,27.866743752980337,-0.0006432490795876281,0.5570349758890825
t2d,0,62.162261500415546,62.36520317911639,-3.7109375000000006e-05,80.41232035956867,0.033032794265703234,81.88185775001041,0.09901548634879444,80.52481187997529,-2.252353342458235e-05,0.03010110534640238
triglycerides,0,9.634982531502489,9.653555664767081,-3.90625e-05,9.66978247241859,0.0022306811635568803,9.728912589572106,0.0018457042377978065,9.699284379131004,-2.753914054483175e-05,0.0040136186572142536
uterine_fibroids,0,7.829098653045198,7.958251929186403,-7.421875000000001e-05,7.886544407159919,0.0011906421418438433,7.8336772415859715,0.00010856588060230763,7.9926781111751115,-7.627873130917355e-05,0.0004960287698213769
