trait,drop_count,I2_LL,Ip_LL,Ir_LL,Ipr_LL,I2_I2,Ip_Ip,Ir_r,Ir_II,Ipr_r,Ipr_II
arthrosis,0,93.57051082119098,93.5367983707866,93.6828013718635,93.71193015695864,0.3893426954880606,1.4273846288110827,1.7610609016373848,0.2089309586078405,2.8293610668077696,16.602032903375427
arthrosis,1,92.17973460474124,91.68502004770087,92.55600022827358,92.46329211330192,0.4725133274626417,1.5111127675763747,2.79529249926706,5.114808308129477,4.729021030168573,5428.144931469667
arthrosis,2,89.74861198615099,89.28606946562704,90.02650503976113,89.874555567097,0.4598303752041631,1.3430759918328186,2.7028753003824844,3.7295704296707006,4.782816218824334,5446.089163371782
arthrosis,5,88.81390370012943,88.24476319534774,89.17008717604828,89.006387286664,0.5205996913003693,1.602993054470186,2.7659506941535588,5.270958071933713,4.654059376939902,5464.092714725183
asthma,0,54.74074791313959,54.49273699616358,55.0516709163755,54.89408478962331,0.0500286461057524,0.088510963898963,3.277175864866302,0.7859852094904323,4.652516446224228,28.795284254372863
asthma,1,55.705949129062446,55.372362585620216,55.85807152392045,55.66236614850923,0.0619569233891466,0.112441785779695,2.786461400083124,0.3372304257853455,3.857606133807096,7.131921100421748
asthma,2,56.51041813930724,56.11084453924973,56.61898478639351,56.41178107986613,0.0758031930921432,0.138758866080914,2.52658780073675,0.2304171633193253,3.631905912690411,5.799558176083526
asthma,5,58.45192811630113,57.87470954767706,58.553009758185446,58.43339570820278,0.1016321820473235,0.2375910507005765,2.353748594975336,0.2177058918392539,3.660672192457077,12.761485503572157
bc,0,107.03766095851653,109.52775784041016,110.7530757226441,111.05817588294968,0.0369552190816113,0.0804936681164566,0.4444552469857318,0.001483366997407,0.4495207382327568,0.0031134022108369
bc,1,110.51395848116697,112.30234017222838,112.87130199379348,112.9824138804177,0.0432548844558021,0.1024639960267429,0.7129090501507138,0.0030843478788387,0.9050370077247296,0.0099131094447584
bc,2,112.93737151505692,114.27645684717166,114.42559965624903,114.535585043085,0.0518380238900747,0.1214915012050069,0.9667559928663902,0.0058576814430991,1.2926658456852915,0.0263490647027413
bc,5,117.31698844530436,117.38406714894894,117.45639555149778,117.38791913137104,0.0724533705464063,0.171351029766993,1.7351741544902315,0.0427040286041642,2.09685239211489,0.2127691050599402
bmi,0,869.1963783793941,910.9332952410632,902.6236724795413,911.0695529221952,0.8201929191264917,8.971826353449966,1.4023618198438583,0.2327324936841414,2.1862956493287125,17.098243482294784
bmi,1,867.5974795441952,909.3901958101072,901.4915909500648,909.6939826908786,0.82028513934912,9.122877345514082,1.4029326488650224,0.233776453874284,2.2938086663743245,25.373210274455044
bmi,2,865.4464737741957,907.4763050954504,899.6087241590352,907.9151400253998,0.8203773699407348,9.2390006997045,1.4029944648538395,0.2340775742063456,2.369473098844087,33.574009628830176
bmi,5,901.335901960608,909.794627504064,908.0683565734882,912.6001837486436,1.3973734904408457,10.053547540759734,1.677315493539053,0.6344295288602905,2.9845589002735613,316.4844436536125
cad,0,37.07779779166937,38.53014504089761,39.236861042580784,39.24030387716758,0.0473044877266698,0.2580153284813418,0.6800090580552918,0.0052047584406617,0.4187977104340932,0.0090953206399721
cad,1,39.6634836093202,41.49257116327223,42.02919127887444,41.79846485110624,0.0566147622026781,0.3825304537561715,0.9531209304442536,0.0111179682978702,1.1106691995027678,0.0594939456824391
cad,2,40.31100229598145,42.115915834492334,42.29537243145195,42.11668625211665,0.0703028054922255,0.5430793396428004,1.2658653500255823,0.0246687161119219,1.95296779461205,0.4902799625612011
cad,5,41.04812919633817,40.78778854323912,41.140430263265486,40.802552921368,0.1594186262917187,0.8176149579722376,1.697514225710142,0.0833884438813573,2.293580842602617,1.6079868250544136
dbp,0,440.4383690552991,441.7065982556568,440.8911764305799,443.2996071417057,1.3543729810000542,6.190818145788102,1.8915270900158971,1.0227610346267897,2.94134630192974,166.9039568552574
dbp,1,440.8887774475618,439.7285364515355,440.8903638959586,442.1395361400116,1.4958992476375783,6.306736518360642,1.9914107510005103,1.4585271512574138,3.253176766023256,513.9376120570549
dbp,2,438.613707084834,437.2495382599228,438.6137960890706,439.9202774872928,1.5131528929584546,6.331247013037808,2.00037165832332,1.514388216233164,3.352318575533883,739.5663047996275
dbp,5,443.0154553266676,440.9230245710151,443.0432951146432,444.6707341249953,1.6448006966150135,6.966547107291467,2.0482686956275757,1.891519982045399,3.524013232752967,1483.5108433199607
diverticulitis,0,70.64491072567203,71.78158320911118,74.34999245237157,73.6503252638618,0.0965095548623552,0.3304393786655512,0.1458189715808512,0.0012109002983146,0.0,0.0023409398408541
diverticulitis,1,70.61471961284927,71.87988051631665,74.24567902547007,73.6366888491806,0.0974034228673271,0.3609696622759174,0.1717735614062223,0.0013140034894856,0.0,0.0024408888427696
diverticulitis,2,70.91118195860659,72.32186873013495,74.43641453738273,73.91054994416187,0.107751140331412,0.4062002949091864,0.2563965787631936,0.0016687387813347,0.0,0.0026025748263919
diverticulitis,5,73.0754486233807,74.10378754330996,74.96823441305143,74.47948058685856,0.1427224155675647,0.6291156207947556,0.9459719269390032,0.0128053119047155,0.8938043787636883,0.0353320701738192
fvc,0,690.1395221986286,712.8585833592679,708.314527616275,712.9958977399288,1.65184293429896,8.172932830812535,1.2186354839198514,0.1173196320679427,1.830878265447426,4.340464571964997
fvc,1,687.9909546923828,710.7377339480735,706.0745238218276,710.8594396971407,1.6522144124806513,8.19225232523306,1.2187749690375869,0.1173775498075686,1.8407930539094537,4.52174230313612
